col_0,col_1,col_2
7996,8357,1
8420,0,1
11535,36053,1
0,0,1
31971,10555,1
8012,9273,1
11991,25199,1
0,8942,1
8673,0,1
11665,0,1
9659,8561,1
7676,0,1
0,29030,1
8187,0,1
8771,8549,1
20387,0,1
11576,8933,1
23584,16092,1
23226,0,1
7691,0,1
8545,10040,1
0,9166,1
8879,10311,1
0,0,1
0,0,1
10180,45077,1
8824,9177,1
9974,9971,1
20841,0,1
13642,8661,1
9174,10014,1
10593,10150,1
0,8969,1
9834,0,1
0,7844,1
11685,5198,1
23868,8978,1
0,0,1
0,0,1
26149,8424,1
8548,0,1
0,8864,1
9805,10757,1
0,8686,1
8159,10195,1
16249,0,1
0,10046,1
12742,8549,1
0,9730,1
8711,0,1
14807,9428,1
7988,8978,1
21997,0,1
10147,10393,1
8162,0,1
8428,9514,1
8867,8110,1
24877,9450,1
0,9747,1
7825,9097,1
14401,8782,1
9429,0,1
7357,9893,1
21070,9854,1
7985,0,1
10383,10057,1
0,10138,1
29055,9432,1
12715,9453,1
0,8533,1
10117,47042,1
8598,9187,1
8283,8122,1
8256,9857,1
7625,9308,1
0,0,1
22045,8068,1
8087,39341,1
0,0,1
8693,13500,1
22082,9124,1
0,8504,1
12571,5086,1
0,0,1
15156,10301,1
13919,9589,1
0,9623,1
25020,9805,1
16490,10056,1
0,9847,1
10801,0,1
0,8895,1
9473,0,1
8875,8474,1
8260,15046,1
8482,0,1
0,48004,1
8036,0,1
9141,8508,1
9458,0,1
8820,7581,1
7765,0,1
0,0,1
0,37843,1
7886,0,1
7119,9962,1
8614,10593,1
8159,8952,1
12968,0,1
8276,8489,1
10363,0,1
0,0,1
0,9682,1
10401,0,1
8629,0,1
23625,10081,1
22721,8883,1
18298,9067,1
14023,9170,1
0,45267,1
0,0,1
8226,9007,1
0,8951,1
10603,18673,1
0,3098,1
13859,9511,1
17556,9105,1
19050,10092,1
8357,10246,1
0,8969,1
13740,7863,1
0,9515,1
37660,9073,1
10185,0,1
0,10105,1
8470,8902,1
0,46035,1
8209,0,1
0,0,1
8283,0,1
8007,6944,1
8357,0,1
8809,8973,1
8318,9868,1
0,18649,1
11472,10069,1
14444,0,1
8149,9969,1
7783,9759,1
14694,9993,1
8255,36325,1
10271,9812,1
8390,9065,1
20979,8548,1
21262,9088,1
0,9251,1
0,9856,1
8095,8545,1
8098,8808,1
8823,8768,1
0,0,1
0,9661,1
7981,8877,1
0,8723,1
8081,8772,1
0,36842,1
22224,8447,1
8881,8293,1
0,0,1
19577,0,1
8183,0,1
8054,9955,1
0,10291,1
23603,9299,1
17660,35358,1
8148,8778,1
10871,7929,1
8131,8191,1
7632,9638,1
9725,8514,1
8831,9682,1
0,9260,1
10432,0,1
0,0,1
16603,8182,1
26452,10162,1
9279,0,1
0,0,1
0,10278,1
8062,0,1
12760,9980,1
8061,18376,1
24119,8507,1
0,0,1
8965,0,1
9814,9944,1
0,19729,1
8793,9970,1
11356,9509,1
8146,0,1
17823,0,1
7941,0,1
29624,0,1
0,0,1
0,0,1
0,0,1
0,0,1
11610,0,1
10505,0,1
38492,9030,1
8215,0,1
0,12274,1
19487,9303,1
9276,0,1
11920,30370,1
17400,0,1
0,0,1
0,7863,1
0,8521,1
16169,9145,1
0,0,1
12201,9626,1
8804,0,1
9114,8670,1
0,0,1
34083,9062,1
0,0,1
13182,35413,1
8234,18641,1
13607,6576,1
8249,0,1
0,0,1
0,0,1
0,10066,1
10466,8326,1
0,0,1
8502,33166,1
8247,9391,1
30195,0,1
9582,9607,1
16803,8935,1
7903,9252,1
8235,10253,1
8988,9806,1
30755,40522,1
8408,0,1
0,29898,1
31075,9460,1
12496,0,1
23871,8802,1
11320,0,1
8698,42037,1
9822,5498,1
0,9672,1
9004,0,1
0,0,1
0,0,1
9520,9003,1
18745,0,1
0,9234,1
0,36666,1
14246,9222,1
8515,0,1
9628,9741,1
8225,9922,1
12225,9901,1
0,9938,1
10706,0,1
8987,9054,1
24488,9906,1
22021,9897,1
0,7481,1
24548,8986,1
8796,9183,1
13436,8368,1
0,9893,1
23831,9921,1
11285,10642,1
26675,0,1
0,0,1
0,9355,1
8530,10070,1
15839,5684,1
9204,10101,1
11064,25282,1
0,8647,1
17640,7949,1
8694,0,1
8914,9397,1
0,9822,1
13890,0,1
7590,0,1
8876,9845,1
0,34341,1
0,9078,1
12155,0,1
8069,10137,1
8719,7517,1
11159,9933,1
8067,0,1
8920,10481,1
17623,9101,1
20939,9367,1
10489,0,1
8298,31590,1
5217,10005,1
8492,9088,1
8733,0,1
0,9770,1
0,8994,1
8657,0,1
12250,10171,1
9124,9154,1
0,7505,1
8172,0,1
15842,0,1
12712,0,1
8803,0,1
6236,8588,1
16053,10424,1
10492,0,1
29485,0,1
7765,8496,1
8888,9820,1
9059,8402,1
13643,0,1
0,0,1
8080,9337,1
0,9249,1
8676,0,1
12187,8991,1
8017,9528,1
22207,9393,1
15492,0,1
10958,28389,1
13149,0,1
0,0,1
14460,8947,1
24279,9551,1
8458,17864,1
8347,8978,1
32589,9845,1
0,10326,1
7981,10269,1
10743,0,1
0,8750,1
14559,8660,1
9445,0,1
12840,0,1
0,9156,1
9572,10004,1
0,8951,1
7867,0,1
15782,9732,1
11975,0,1
8026,0,1
0,0,1
0,9426,1
8027,9156,1
8279,0,1
33241,10171,1
10162,22516,1
9632,41300,1
23102,0,1
7517,0,1
8726,0,1
0,8701,1
8080,9347,1
10461,48440,1
8912,44413,1
0,8837,1
8914,7993,1
0,9672,1
9741,0,1
0,9329,1
8081,0,1
0,9445,1
8142,9272,1
8455,11293,1
0,40020,1
8666,10356,1
0,9732,1
16113,9039,1
8679,0,1
0,35679,1
0,8956,1
7462,29320,1
7293,9795,1
18373,8713,1
15388,9760,1
10262,9937,1
19327,10001,1
0,0,1
11184,9265,1
11112,0,1
8004,8017,1
8337,0,1
26327,10310,1
10662,9471,1
0,0,1
8523,0,1
0,0,1
8216,9826,1
15214,0,1
0,44288,1
8074,9543,1
0,0,1
22373,8365,1
9892,41638,1
8585,10109,1
0,37635,1
8005,9050,1
7950,9437,1
9725,0,1
8249,38497,1
27272,10469,1
11437,47978,1
0,8677,1
7862,45801,1
7726,9640,1
0,0,1
14240,0,1
11903,18106,1
10713,0,1
18262,0,1
13729,9010,1
7992,9918,1
6390,0,1
8198,9914,1
28917,9905,1
0,9653,1
8673,9019,1
0,0,1
0,10310,1
10748,9001,1
8135,0,1
8080,10742,1
18092,0,1
8482,38282,1
8079,8465,1
8530,8358,1
10082,8991,1
0,7633,1
8494,0,1
8511,10363,1
22694,8580,1
0,8831,1
8457,8630,1
8954,0,1
8103,9688,1
10111,0,1
0,0,1
0,8199,1
0,17255,1
8244,0,1
8018,9426,1
8952,9955,1
27485,9373,1
8485,0,1
21761,9022,1
9720,7974,1
9607,9562,1
9097,9243,1
8346,9145,1
0,0,1
7612,28930,1
9682,36878,1
0,8437,1
0,9141,1
7041,13330,1
9561,8702,1
0,0,1
25201,9737,1
0,9597,1
16704,9916,1
8789,0,1
8130,8620,1
14238,9511,1
29245,9099,1
0,48375,1
7721,9022,1
0,9699,1
0,8733,1
8048,0,1
8292,16168,1
19134,46159,1
8833,9464,1
16558,0,1
11832,0,1
8589,0,1
8748,9856,1
19989,7652,1
20236,7758,1
9837,15501,1
44039,9127,1
0,10021,1
8330,11693,1
8307,10299,1
13059,9741,1
0,10288,1
17302,9989,1
8413,8985,1
0,9142,1
0,8975,1
0,7900,1
10199,0,1
0,10852,1
13079,28902,1
0,0,1
0,8911,1
8477,0,1
9905,9170,1
0,10393,1
0,9075,1
0,9526,1
0,9564,1
0,10422,1
11948,0,1
0,0,1
0,36457,1
8409,9056,1
0,0,1
8358,0,1
12472,10843,1
7064,0,1
14329,12063,1
7494,25743,1
9199,21901,1
15349,9823,1
0,10369,1
28220,27893,1
16758,8891,1
10826,8394,1
12517,9801,1
8548,0,1
8047,17668,1
7751,33459,1
0,0,1
0,0,1
29826,0,1
0,10051,1
9198,0,1
0,11529,1
8690,9052,1
8170,8864,1
14112,9611,1
32221,9645,1
8774,10077,1
0,8991,1
0,0,1
8625,0,1
24164,9429,1
0,43808,1
0,8591,1
8850,17595,1
8730,8941,1
34323,9418,1
0,0,1
0,0,1
27608,0,1
10285,0,1
0,10084,1
0,28082,1
0,0,1
0,0,1
8172,0,1
9986,0,1
0,9272,1
8307,17146,1
27877,0,1
8293,8170,1
8656,9196,1
8410,9366,1
0,30995,1
8170,0,1
16354,9113,1
30101,39061,1
8758,7294,1
7902,0,1
8309,9813,1
0,10203,1
0,10183,1
0,9043,1
10684,0,1
35990,0,1
8364,9555,1
11149,43637,1
13135,44703,1
13649,0,1
8294,10356,1
8169,0,1
7971,0,1
0,0,1
12993,26000,1
36656,0,1
9555,39496,1
9389,0,1
8340,9636,1
8325,8109,1
8442,0,1
0,9219,1
16829,0,1
7672,9007,1
0,44243,1
4656,0,1
8517,0,1
13648,10678,1
20286,0,1
0,0,1
7443,8652,1
15164,0,1
7573,19042,1
8105,0,1
15426,0,1
8508,10356,1
29952,9466,1
7147,0,1
0,8890,1
7844,26691,1
7985,8363,1
0,0,1
19710,0,1
8994,8650,1
0,0,1
8772,44977,1
9148,0,1
9326,9513,1
0,10054,1
11151,10326,1
11350,10087,1
8063,10252,1
0,0,1
19753,0,1
11057,9929,1
10576,0,1
11509,0,1
8644,8620,1
26100,0,1
8643,12598,1
14227,0,1
8634,0,1
0,1726,1
0,0,1
0,0,1
19245,0,1
8027,35270,1
25478,9464,1
0,9783,1
8027,0,1
16645,10107,1
8707,0,1
0,7284,1
0,25714,1
17238,0,1
0,9714,1
0,16823,1
29779,10300,1
8600,0,1
7693,34580,1
13208,0,1
8238,10117,1
0,12427,1
8615,9618,1
8218,0,1
27247,9093,1
8937,8754,1
8540,0,1
0,0,1
8359,28487,1
11955,0,1
10973,0,1
9712,38736,1
8572,40447,1
9097,9795,1
7989,9916,1
8184,0,1
8268,38580,1
0,0,1
0,34967,1
0,9772,1
8552,9384,1
21330,8420,1
11143,9506,1
0,0,1
8569,21860,1
0,35050,1
0,10730,1
23892,9919,1
0,9679,1
13033,0,1
8493,0,1
0,9499,1
0,11658,1
0,0,1
8768,0,1
20251,25145,1
8401,8106,1
8202,8107,1
0,10146,1
0,0,1
8413,11140,1
8054,9409,1
10218,0,1
9749,0,1
28084,0,1
9377,0,1
0,9791,1
7553,0,1
9392,10175,1
0,43687,1
0,9793,1
8071,8358,1
8026,31778,1
0,0,1
0,8902,1
9643,8781,1
0,0,1
0,0,1
10181,8867,1
0,0,1
0,0,1
0,38767,1
8297,42858,1
8852,0,1
0,8557,1
33124,10182,1
20041,8998,1
11132,8653,1
0,10040,1
0,0,1
9549,0,1
9990,0,1
0,10493,1
7585,9671,1
0,9359,1
24414,17495,1
8229,42245,1
17579,0,1
8295,9377,1
8328,47043,1
12567,48353,1
8606,9105,1
0,0,1
8095,41170,1
0,9207,1
8628,0,1
10197,0,1
0,9341,1
8500,8798,1
0,11058,1
19554,0,1
0,9487,1
8627,9480,1
9925,9438,1
9121,9158,1
0,9228,1
15151,10440,1
11640,8970,1
14126,0,1
9814,9370,1
0,9153,1
18039,10021,1
0,0,1
7801,17791,1
0,8668,1
0,0,1
8359,10231,1
11515,8659,1
0,9031,1
9128,7932,1
8711,9280,1
18643,8928,1
13942,9277,1
0,6458,1
11370,9842,1
10815,9027,1
24149,9029,1
19157,19248,1
8081,0,1
23686,9074,1
8711,20989,1
8907,13143,1
7996,9871,1
0,10332,1
36855,42165,1
0,0,1
0,0,1
8107,9953,1
7774,0,1
0,10228,1
7524,9120,1
0,9553,1
8299,44214,1
10454,0,1
7897,9505,1
0,9712,1
8370,0,1
11362,0,1
7425,9594,1
7794,27674,1
8318,0,1
0,0,1
17141,0,1
17551,0,1
17107,9616,1
0,0,1
8136,8960,1
8819,0,1
20213,0,1
8066,9148,1
16507,0,1
0,8850,1
15210,9218,1
24119,0,1
9689,0,1
0,0,1
0,9524,1
0,0,1
11090,0,1
0,9823,1
8244,0,1
8430,9898,1
9677,9741,1
0,9263,1
7906,9117,1
9868,9489,1
8155,34435,1
8144,9257,1
0,10006,1
9772,8952,1
0,0,1
0,9468,1
0,10133,1
9343,8659,1
0,9384,1
7721,8559,1
0,0,1
11931,0,1
7760,9511,1
15066,9181,1
11675,9705,1
9441,18413,1
0,42316,1
10351,0,1
8363,0,1
10874,0,1
8438,0,1
25128,13557,1
7945,0,1
0,0,1
20038,47947,1
9384,0,1
7981,0,1
16445,0,1
33229,0,1
8100,0,1
22079,0,1
8321,9205,1
7547,0,1
33332,28173,1
0,8300,1
0,30360,1
23302,0,1
0,8864,1
0,8858,1
0,0,1
8209,9070,1
9541,22275,1
11961,9187,1
16866,0,1
21032,35140,1
0,9720,1
8204,0,1
8692,9052,1
8316,9217,1
11460,8770,1
23000,0,1
8548,9822,1
8181,8874,1
10397,0,1
0,12524,1
9187,9110,1
17037,9871,1
9938,39234,1
10652,0,1
0,9735,1
32329,10042,1
0,0,1
13169,9206,1
0,8883,1
8349,9059,1
7719,8718,1
0,9525,1
15536,10714,1
13592,8844,1
7748,0,1
8538,9368,1
8788,0,1
0,0,1
21812,10145,1
8952,8636,1
13595,10517,1
7968,0,1
10746,8663,1
29096,9676,1
35091,11558,1
14033,8861,1
0,9672,1
7997,9067,1
11310,9819,1
9510,8560,1
20523,9030,1
9611,10552,1
8970,43429,1
0,0,1
8092,0,1
13392,9348,1
0,0,1
7525,0,1
0,8647,1
14828,10364,1
0,29384,1
0,0,1
0,10410,1
8091,2988,1
7962,0,1
15069,0,1
10037,41687,1
10195,8676,1
0,9548,1
0,9754,1
0,0,1
0,8918,1
0,43135,1
8265,0,1
0,9980,1
10716,9032,1
0,0,1
8777,0,1
7667,27435,1
19237,9562,1
8882,0,1
8627,9370,1
16737,0,1
0,8751,1
31624,44958,1
22238,29746,1
0,10271,1
16229,8934,1
35144,0,1
22170,7894,1
11656,0,1
9755,9144,1
0,16310,1
0,9927,1
0,0,1
10026,10718,1
0,11489,1
9908,0,1
0,0,1
0,9300,1
0,8589,1
0,0,1
8505,0,1
9273,0,1
9152,8691,1
8269,9132,1
7991,9689,1
0,0,1
8101,0,1
28877,0,1
8170,0,1
8215,0,1
8345,9237,1
7833,0,1
0,0,1
8716,0,1
0,46488,1
0,0,1
15545,0,1
8470,26098,1
0,0,1
0,0,1
13322,10105,1
8295,17688,1
0,9961,1
0,37011,1
17158,0,1
27427,0,1
8581,8998,1
9452,10041,1
0,0,1
8275,8523,1
8052,0,1
8243,8205,1
0,0,1
9648,9255,1
8045,0,1
33101,8830,1
8428,8930,1
0,6925,1
0,37049,1
0,7997,1
23895,10024,1
7620,10084,1
7608,34144,1
12560,0,1
12870,8653,1
0,9158,1
0,8590,1
9190,8568,1
0,8782,1
0,9232,1
0,0,1
13966,6682,1
22904,9895,1
0,0,1
7810,9666,1
0,9184,1
0,0,1
10868,8328,1
0,8468,1
8697,0,1
13207,8990,1
0,10099,1
16770,0,1
12024,0,1
19407,0,1
9882,0,1
0,10004,1
8986,9247,1
8870,0,1
8153,8982,1
0,36823,1
0,9289,1
0,35247,1
8018,8941,1
10243,9138,1
8377,8854,1
10352,0,1
0,19405,1
7501,9061,1
22568,0,1
11150,8464,1
8147,0,1
13180,17714,1
8393,0,1
0,9969,1
8228,0,1
10046,8221,1
0,0,1
13890,9067,1
8337,9194,1
20371,20860,1
9604,9623,1
16986,8947,1
7682,0,1
0,0,1
0,37345,1
10143,8735,1
10086,8984,1
8598,7639,1
0,9044,1
11200,0,1
17336,0,1
0,9898,1
8240,9049,1
11747,39606,1
9123,8893,1
0,9338,1
9533,0,1
8487,0,1
20466,0,1
8010,0,1
18263,47484,1
0,8702,1
18873,9705,1
24794,9062,1
26928,10047,1
32976,9577,1
7621,7734,1
12006,9351,1
33006,9307,1
0,10272,1
9216,9483,1
20241,0,1
26649,0,1
8811,7413,1
0,9567,1
8363,43032,1
8403,0,1
7610,7349,1
17175,9332,1
8576,0,1
7788,11059,1
8927,23836,1
0,6955,1
8001,0,1
22599,9572,1
0,10053,1
9627,8928,1
9764,42402,1
0,10040,1
10261,9931,1
10307,8300,1
12809,12844,1
18713,0,1
12174,9980,1
22263,9814,1
8216,0,1
10913,11710,1
20767,41674,1
0,27439,1
0,8760,1
0,47766,1
8464,0,1
0,0,1
0,0,1
0,9251,1
0,0,1
25042,0,1
0,14852,1
9188,9080,1
14153,8175,1
12823,8888,1
0,0,1
9571,0,1
8551,0,1
12938,24658,1
10177,8358,1
8779,0,1
0,10219,1
0,0,1
32743,9307,1
9502,0,1
0,8594,1
7824,9451,1
0,17732,1
8483,7281,1
10359,8516,1
0,22586,1
15459,0,1
8223,11122,1
16113,0,1
9514,9750,1
0,0,1
9773,11009,1
8993,9229,1
18918,8727,1
9257,0,1
0,0,1
0,8702,1
10951,33842,1
0,0,1
0,8948,1
0,7376,1
10411,9839,1
24305,43757,1
27439,10305,1
8008,9024,1
0,9694,1
27615,9182,1
8226,0,1
13285,9265,1
11281,42633,1
7671,0,1
0,0,1
12782,8633,1
8056,9521,1
10925,9099,1
17162,9123,1
0,0,1
8387,0,1
0,0,1
8114,11590,1
9454,0,1
8252,9428,1
18194,10258,1
8842,32753,1
0,0,1
8481,10261,1
8261,0,1
9390,35913,1
14772,0,1
0,10230,1
8510,8522,1
8336,7815,1
8449,8018,1
10332,0,1
9417,0,1
0,0,1
12185,44888,1
0,9911,1
10665,9149,1
9478,33166,1
0,37829,1
13841,9642,1
25541,9026,1
7845,49146,1
8239,0,1
0,0,1
12192,9471,1
8140,8854,1
0,9452,1
0,9522,1
0,15202,1
9215,9401,1
8440,8876,1
0,10960,1
22816,8442,1
0,0,1
36968,8751,1
7849,10545,1
7483,0,1
0,0,1
0,9249,1
8715,0,1
8543,41080,1
8546,8946,1
0,9434,1
23854,0,1
8083,9273,1
0,8371,1
8078,9086,1
7737,8484,1
22764,125,1
0,0,1
0,9309,1
8140,9318,1
0,0,1
0,0,1
7549,29035,1
18530,9915,1
0,0,1
10185,8724,1
31718,29624,1
19375,0,1
14241,11496,1
8589,9251,1
9446,8678,1
7666,10050,1
17379,8970,1
8869,0,1
0,0,1
0,0,1
0,0,1
21060,0,1
9345,10934,1
13033,10460,1
8419,9257,1
7983,8324,1
33278,9265,1
9308,18642,1
7884,0,1
22062,9708,1
0,9110,1
0,8718,1
0,11735,1
0,10737,1
21992,35878,1
18731,0,1
19916,0,1
8421,0,1
9390,0,1
8244,0,1
27870,10103,1
8522,9324,1
9775,9242,1
0,0,1
0,35804,1
8441,8913,1
8912,8341,1
15116,0,1
8355,0,1
8381,8460,1
0,10070,1
9560,22579,1
0,0,1
8210,9022,1
0,7779,1
0,0,1
14060,38676,1
8993,6510,1
27478,13180,1
33143,8414,1
0,27027,1
8857,0,1
8744,0,1
10712,0,1
0,0,1
7545,9265,1
0,10516,1
8176,10950,1
0,9335,1
0,0,1
9033,9705,1
22428,38523,1
0,0,1
9262,0,1
8038,7704,1
12238,0,1
30081,22504,1
10301,8820,1
0,46655,1
0,0,1
32091,0,1
8138,0,1
9834,37043,1
20124,0,1
24340,9688,1
0,15609,1
8440,8855,1
0,9872,1
10060,24020,1
0,37046,1
8375,24714,1
0,22326,1
26081,0,1
8620,29294,1
0,8204,1
9441,8875,1
0,0,1
0,0,1
8420,8563,1
8177,9255,1
0,10027,1
0,37861,1
8005,9892,1
15539,35130,1
9475,9889,1
8183,9277,1
8028,9612,1
0,0,1
8358,28744,1
0,0,1
7541,10827,1
0,0,1
8053,0,1
0,8830,1
18751,8776,1
0,8609,1
9159,10008,1
30470,9968,1
34871,10088,1
0,0,1
8246,9350,1
0,8569,1
9367,0,1
0,10103,1
8865,9313,1
7705,0,1
27250,9933,1
0,10473,1
0,0,1
24516,0,1
0,8335,1
10171,9882,1
0,10849,1
0,8942,1
0,0,1
0,9600,1
11875,9104,1
0,0,1
8983,0,1
0,10210,1
14932,41580,1
0,9276,1
0,28781,1
11637,8730,1
10398,9876,1
8053,0,1
24746,46977,1
0,0,1
25151,10895,1
0,0,1
8230,9466,1
8375,9845,1
8063,10033,1
0,0,1
8719,45898,1
0,9236,1
8109,0,1
0,9714,1
12460,5608,1
0,21945,1
0,41403,1
0,41592,1
21681,0,1
11926,18929,1
7952,0,1
22650,0,1
9652,34276,1
21282,9215,1
13416,0,1
11377,8904,1
8604,8994,1
0,0,1
0,9784,1
0,9803,1
0,37766,1
8071,8668,1
8643,0,1
18222,9640,1
0,0,1
8073,8955,1
13232,42619,1
22506,9647,1
22444,9481,1
27434,8903,1
10835,0,1
8247,8239,1
22732,10373,1
9848,0,1
8293,9077,1
0,0,1
8302,9266,1
10413,9590,1
8293,7015,1
9200,9990,1
0,9423,1
8813,9514,1
0,8834,1
8586,0,1
18489,8595,1
7581,9238,1
0,0,1
19416,0,1
21386,10614,1
13084,0,1
0,9618,1
7776,0,1
8341,10000,1
8048,47231,1
9945,0,1
26749,0,1
25640,0,1
8550,8744,1
0,11082,1
9052,8937,1
20813,0,1
0,0,1
12679,0,1
9320,0,1
8878,8729,1
0,33069,1
0,15424,1
8530,0,1
14769,9003,1
28472,0,1
7802,0,1
0,22653,1
11674,7377,1
0,9996,1
8171,36268,1
8966,8904,1
8064,9015,1
8510,8798,1
8923,10106,1
0,29520,1
0,0,1
6857,8556,1
10515,29277,1
9363,0,1
9939,0,1
19261,0,1
18578,9856,1
32249,9547,1
24147,0,1
8199,8654,1
0,0,1
22413,9068,1
8237,0,1
8518,10985,1
0,44024,1
8133,0,1
8914,0,1
0,8824,1
8558,10249,1
7925,9182,1
0,9344,1
0,9602,1
0,8890,1
23251,0,1
8296,36559,1
8375,9430,1
8595,8368,1
13295,9567,1
26193,0,1
8602,27735,1
7556,21553,1
11610,8491,1
9631,9670,1
0,0,1
9834,0,1
24424,14833,1
8056,8808,1
7859,0,1
10636,8291,1
9223,0,1
9692,7051,1
8196,10372,1
0,0,1
0,0,1
12012,9478,1
32592,45510,1
0,9099,1
0,8762,1
11926,9243,1
0,0,1
8065,0,1
9135,0,1
8548,8484,1
0,9097,1
9119,0,1
0,0,1
7939,0,1
0,9839,1
0,9220,1
6630,9369,1
19508,8645,1
0,0,1
0,10418,1
0,8323,1
14689,0,1
8968,9445,1
0,0,1
8950,8345,1
21209,15590,1
0,29515,1
0,7408,1
8455,17159,1
8794,0,1
11956,9257,1
8500,17598,1
0,18166,1
8698,20251,1
15436,9356,1
25616,47363,1
29586,17620,1
9030,0,1
7887,8419,1
15573,9247,1
0,0,1
9407,10622,1
8536,8642,1
8446,8617,1
10867,9854,1
16429,9795,1
9663,9024,1
0,47492,1
0,18780,1
0,18409,1
29274,23418,1
10709,0,1
13750,0,1
10671,9936,1
9035,0,1
9094,0,1
0,0,1
13912,8999,1
0,6471,1
0,8331,1
0,9644,1
12188,9827,1
8949,9057,1
0,9249,1
7859,8662,1
19440,0,1
9325,9400,1
14520,8051,1
0,0,1
0,0,1
0,0,1
0,0,1
12571,8836,1
8281,0,1
0,9796,1
12308,14303,1
14483,9274,1
8791,8169,1
9120,8983,1
9529,10293,1
0,8060,1
0,28921,1
23565,0,1
8540,0,1
9119,0,1
0,9586,1
9057,9065,1
26255,0,1
0,9323,1
17811,9673,1
0,8613,1
0,40053,1
28792,26694,1
7570,9074,1
0,0,1
0,9483,1
0,43894,1
26834,38988,1
11263,0,1
9000,9639,1
18483,10179,1
31476,9713,1
8492,7785,1
8820,0,1
8047,27147,1
28612,35936,1
10103,31257,1
0,9120,1
0,0,1
7950,0,1
8690,44030,1
0,13267,1
0,9579,1
8435,0,1
16413,8976,1
18480,52814,1
9805,9057,1
15586,0,1
23101,0,1
8697,9845,1
7551,0,1
8575,44527,1
8019,41718,1
8561,0,1
0,11905,1
22919,0,1
9263,0,1
9132,17683,1
0,0,1
0,0,1
0,0,1
9617,0,1
0,0,1
8170,0,1
9095,0,1
20472,0,1
0,8596,1
11969,0,1
14224,9080,1
8010,9086,1
0,0,1
24983,0,1
8083,0,1
33747,9162,1
8548,0,1
8584,8057,1
30752,8877,1
8436,10195,1
0,0,1
8124,8708,1
0,8953,1
8258,9031,1
10048,0,1
0,8706,1
9765,9489,1
0,10069,1
8574,0,1
11318,9970,1
8690,8921,1
0,8569,1
8502,0,1
11302,8859,1
11393,0,1
29850,0,1
0,9558,1
0,9073,1
9606,44304,1
11997,7723,1
16183,8900,1
8775,31755,1
0,10763,1
0,0,1
25834,9994,1
0,9509,1
24951,9214,1
0,0,1
9199,8104,1
8918,10292,1
0,8807,1
0,9549,1
0,0,1
0,0,1
8621,0,1
23967,0,1
12142,41733,1
8381,38933,1
22178,0,1
9813,0,1
0,10354,1
9816,0,1
11655,0,1
10996,0,1
8005,33339,1
9164,0,1
8830,13914,1
10223,9676,1
11808,43772,1
8295,13941,1
8056,0,1
8294,10035,1
11842,0,1
0,18620,1
24357,0,1
0,19276,1
8644,0,1
10118,8859,1
0,9107,1
19509,36952,1
7701,46246,1
0,35045,1
0,10730,1
0,8454,1
0,0,1
8487,0,1
9677,9933,1
8084,9266,1
7967,10822,1
13605,10331,1
8521,9922,1
0,0,1
12344,9511,1
0,9264,1
10066,0,1
9494,9295,1
8223,0,1
9103,0,1
0,0,1
0,36919,1
7474,10289,1
16425,8926,1
0,10028,1
0,12665,1
10157,0,1
0,8427,1
0,8798,1
0,9734,1
8557,0,1
0,0,1
14761,9455,1
33814,8755,1
10266,0,1
8830,4973,1
11522,35856,1
8323,0,1
0,0,1
0,0,1
0,9452,1
20502,41986,1
0,9453,1
9704,17879,1
8440,0,1
7914,8097,1
14177,0,1
7467,0,1
23478,0,1
8832,8005,1
0,9293,1
0,0,1
7698,8225,1
7992,0,1
0,8868,1
